Edad,ID empleado,Fecha contratacion,Años de experiencia,Viajes realizados,Km totales recorridos,Tiempo de inactividad total,Incidentes de peligro,Renuncia,Antigüedad (dias),KM x Viaje,Tiempo de inactividad x Viaje,Viajes x Año,Score norm,Finanzas,Operaciones,RH
42,d0a39427-2595-4e03-8dc4-6b2bd3e3921d,2014-04-15,9,2552,1650646,216010,0,0,3973,646.8048589341693,84.6434169278997,234.45255474452554,0.0,0.0,0.0,0.0
43,786398a0-32c4-4984-b8b1-6e005d425bf0,2021-07-23,5,931,410686,69796,0,1,1317,441.1235230934479,74.96885069817401,258.0220197418375,-0.33511805534362793,2.0,0.0,0.0
43,4d9591b9-4492-49b1-a13b-0f11f82e6dac,2011-02-14,11,4131,2075241,128527,1,1,5129,502.358024691358,31.11280561607359,293.97835835445505,-0.5825859308242798,0.0,2.0,1.0
57,075dde5c-6920-472b-b6d4-0620ed5700c6,2018-10-16,28,1214,964912,72605,0,0,2328,794.8204283360791,59.80642504118616,190.33934707903782,0.0,0.0,0.0,0.0
36,afb886f3-1932-452e-833f-7d57baf3ae3f,2013-04-23,2,2289,1945760,159183,4,1,4330,850.0480559196155,69.54259501965925,192.95265588914552,0.0,0.0,0.0,0.0
35,467545a4-1e09-4f65-8e2a-56c7371d6c66,2023-02-06,11,490,234183,29363,0,0,754,477.92448979591836,59.92448979591837,237.20159151193633,0.0,0.0,0.0,0.0
33,d8ecf36c-0035-41c8-89c4-45334a9f4130,2011-06-28,9,2943,2153565,196391,1,0,4995,731.7584097859327,66.73156642881413,215.05405405405403,0.0,0.0,0.0,0.0
44,d181b51b-d24a-4b03-8f3d-5d6bd89df359,2007-10-01,9,4133,1273312,221795,2,0,6361,308.084200338737,53.66440842003387,237.15532149033172,0.0,0.0,0.0,0.0
49,ed154a9d-b0c9-4d17-9fda-c62290a64627,2018-11-25,29,1229,1038059,77642,0,1,2288,844.6371033360456,63.17493897477624,196.05987762237763,-0.000307619571685791,0.0,1.0,1.0
39,62cdbe36-e149-4539-8160-e92f58c58d98,2023-11-25,17,340,160775,19965,0,1,462,472.86764705882354,58.720588235294116,268.6147186147186,-0.9510424733161926,1.0,0.0,2.0
33,4870115f-bf0a-408b-a02a-cacea5b5056a,2019-10-27,4,1500,682617,91652,0,1,1952,455.078,61.101333333333336,280.48155737704917,-1.9361528158187866,0.0,2.0,0.0
33,1f93b5bc-5fd8-4cc1-8b4e-278aea22051c,2022-03-07,0,890,203835,59706,0,1,1090,229.02808988764045,67.08539325842696,298.0275229357798,-0.9541002511978149,0.0,0.0,1.0
45,d25800f5-20e9-4ff5-8185-26f7d3c5248a,2018-09-16,8,1792,751982,62257,0,1,2358,419.6328125,34.741629464285715,277.3876166242579,-1.6601434350013733,2.0,1.0,1.0
45,493af9f5-4ec2-442b-a1f2-4c15d8f9591a,2002-05-13,5,5484,3817874,152651,1,1,8328,696.1841721371262,27.835703865791395,240.35302593659944,0.06844627857208252,1.0,0.0,1.0
44,be644008-bbf8-4cde-b5f4-0b27022407b8,2009-09-12,13,4937,1784314,151862,3,1,5649,361.41664978732024,30.75997569374114,318.99539741547176,-0.06248831748962402,0.0,3.0,1.0
34,556817c5-bd42-4a59-9d52-a7de394fe8e1,2021-09-12,13,1000,515359,54234,0,0,1266,515.359,54.234,288.30963665086887,0.5283248424530029,0.0,0.0,1.0
41,3f34cf85-123b-4870-8439-6b4ad9b023af,2012-06-26,19,3292,1633651,131791,1,1,4631,496.24878493317135,40.03371810449575,259.46447851435977,0.5836240649223328,1.0,0.0,2.0
40,7c9c272f-2cb6-4a11-83a8-47b56768d4bf,2019-01-20,6,1300,970950,94786,0,0,2232,746.8846153846154,72.91230769230769,212.58960573476702,0.0,0.0,0.0,0.0
41,d64539af-b199-4282-8619-77a74b2aec3b,2003-09-06,9,5960,2866666,269003,0,0,7847,480.9842281879195,45.13473154362416,277.2269657193832,0.0,0.0,0.0,0.0
46,dc85d1cb-c5f5-4e39-8734-2b7ead374aed,2023-04-26,0,497,185932,36325,0,0,675,374.1086519114688,73.08853118712274,268.7481481481482,0.0,0.0,0.0,0.0
41,cedc0743-464c-486e-8ee4-25151d483d60,2008-10-18,11,4622,2119296,136953,0,0,5978,458.5235828645608,29.630679359584594,282.2064235530278,1.856050431728363,2.0,0.0,0.0
45,e864d885-6537-4d79-80b4-5105248e22d4,2004-11-08,1,6026,3546526,154150,3,1,7418,588.5373382011285,25.58081646199801,296.5071447829604,-0.9929882884025574,0.0,1.0,0.0
40,3522bd39-7d47-4def-a023-ff111e821945,2022-10-28,19,740,333288,30436,0,0,855,450.3891891891892,41.12972972972973,315.906432748538,-0.9982372522354126,0.0,0.0,1.0
42,d215baaa-a9d7-4bb2-9511-f4adcbfa7179,2020-05-21,19,1534,594494,86855,0,0,1745,387.5449804432855,56.619947848761406,320.865329512894,0.8664793968200684,0.0,1.0,0.0
45,7e2727d8-1ee5-4e1c-9fd9-40f37beb7d5f,2014-07-26,5,2911,2053408,151118,0,1,3871,705.3960838199931,51.91274476125043,274.4807543270473,-2.019318699836731,1.0,2.0,1.0
28,0e89c962-4460-4f9d-ac1b-6132bcba244b,2017-03-23,6,2570,1283938,161304,0,0,2900,499.58677042801554,62.76420233463035,323.4655172413793,0.0,0.0,0.0,0.0
37,8dafc5a4-8106-43d4-aa7c-236b9b656697,2015-01-16,10,3196,1535507,170375,1,0,3697,480.4464956195244,53.30882352941177,315.5369218285096,0.0,0.0,0.0,0.0
36,ee217c51-8a3c-4bf6-99a9-37aae5916534,2013-09-09,13,2099,1573248,152101,0,0,4191,749.5226298237255,72.46355407336827,182.80481985206396,-0.6454604268074036,0.0,1.0,0.0
34,97f40084-0d46-45f4-b16b-d0dd3ed52c5e,2013-03-18,7,3296,1783170,166427,0,1,4366,541.0103155339806,50.4936286407767,275.5474118185982,-0.9727644920349121,1.0,1.0,1.0
37,40715316-0698-487c-8b6d-ce6e2efcdbb3,2010-02-05,3,3144,2261835,142571,2,1,5503,719.4131679389313,45.347010178117046,208.53352716699982,0.9966263771057129,0.0,0.0,1.0
51,457a1c53-8673-414f-9742-f136a12aeb8c,2010-05-13,20,3341,948076,235738,0,0,5406,283.77012870398084,70.55911403771326,225.57621161672216,0.0,0.0,0.0,0.0
33,441b87b2-312d-447b-8fc7-049c19190482,2017-07-22,1,1720,1060452,120127,0,1,2779,616.5418604651163,69.84127906976744,225.90860021590498,-0.999601423740387,0.0,1.0,0.0
47,933d6f9b-0e9c-4870-9b6b-bb51022dc6cc,2004-10-17,16,5157,2508288,188195,3,0,7440,486.38510762070973,36.49311615280202,252.99798387096774,0.6276721954345703,1.0,0.0,0.0
26,1c52c816-585e-46a4-8061-6f40950f6696,2022-08-03,1,474,291726,33195,0,1,941,615.4556962025316,70.03164556962025,183.8575982996812,-0.9995692372322083,0.0,1.0,0.0
37,4a15fe39-60f7-43be-8a0b-ef8442756366,2009-08-25,12,3368,1894846,157420,0,1,5667,562.6027315914489,46.73990498812351,216.92606317275457,-1.9976344108581543,0.0,1.0,1.0
41,6446e31e-2423-4fa1-ad56-c36fe08bcf28,2023-09-24,18,268,118178,8694,0,0,524,440.96268656716416,32.440298507462686,186.6793893129771,0.0,0.0,0.0,0.0
44,a8174e86-f6fd-4305-90f2-d8958d6bce3c,2019-06-22,2,1580,427507,107886,0,1,2079,270.5740506329114,68.28227848101265,277.3929773929774,-1.9993016123771667,0.0,1.0,1.0
45,9a64a3c2-c0cd-4dd6-b8e6-17381a64680c,2004-03-05,10,6559,3447555,112130,0,0,7666,525.6220460436042,17.09559384052447,312.2925906600574,0.0,0.0,0.0,0.0
46,d6b959d9-6f8c-4eb7-94d2-d0f7db38715f,2015-04-29,19,3231,1390779,170394,10,1,3594,430.44846796657384,52.737233054781804,328.13439065108514,-0.9996089339256287,0.0,0.0,1.0
37,402ff978-cb79-42a3-95b5-20ab5bae6db4,2021-08-15,2,879,203104,34715,0,0,1294,231.06257110352672,39.49374288964733,247.9404945904173,0.0,0.0,0.0,0.0
36,c0d948d5-66c4-4277-bfac-7784d2ad7e36,2021-03-07,9,878,442158,44869,0,1,1455,503.5968109339408,51.10364464692483,220.25429553264604,-1.8777556419372559,0.0,0.0,2.0
46,be321b27-cfc1-40e2-87fb-fcda2c15874f,2010-05-18,18,4543,2270818,160519,0,0,5401,499.8498789346247,35.333259960378605,307.0162932790224,-1.8600283861160278,0.0,1.0,1.0
38,62354e07-52f5-4fc7-a119-258f25cae7f0,2008-12-11,6,3230,1940695,215862,0,0,5924,600.8343653250774,66.83034055727555,199.0124915597569,-0.9987006187438965,0.0,1.0,0.0
29,3f34d664-4fa1-4574-b5d0-e29459e0e0cd,2023-07-13,8,531,268411,28854,0,0,597,505.48210922787194,54.33898305084746,324.64824120603015,0.0,0.0,0.0,0.0
30,a78314a0-8cdf-4c4f-9b5a-13643c02d193,2023-11-11,5,374,206574,17437,0,0,476,552.336898395722,46.62299465240642,286.7857142857143,0.0,0.0,0.0,0.0
32,c3f47c45-7604-48e4-854c-8f9d36343db8,2018-08-03,8,1685,579994,111012,0,0,2402,344.21008902077153,65.88249258160238,256.04704412989173,0.6828219294548035,0.0,0.0,1.0
43,5f449d87-b222-457d-aa54-e12e1d5745ad,2002-03-10,3,4520,2840977,191828,10,1,8392,628.5347345132743,42.43982300884956,196.59199237368924,1.6104631423950195,1.0,0.0,1.0
41,d7c48ca2-07c8-41f4-90d7-3d1311088764,2018-04-24,0,1269,786324,91942,0,0,2503,619.6406619385343,72.45232466509063,185.05193767479025,0.0,0.0,0.0,0.0
45,044a4610-21cd-41ba-8c9c-67f1866d2e89,2000-03-15,1,6544,2177695,217147,4,1,9117,332.7773533007335,33.18261002444988,261.9896895908742,-2.4164960384368896,2.0,1.0,0.0
36,bce15ec3-0a78-4d09-94f3-731d29e38eaf,2009-12-21,15,3693,1296568,210271,0,0,5549,351.088004332521,56.9377200108313,242.91674175527123,0.606430172920227,0.0,0.0,1.0
41,645616ed-146e-4318-82bb-4bb73f7cfb15,2018-03-23,19,2121,723788,197730,0,0,2535,341.24846770391326,93.22489391796323,305.3905325443787,0.9765817523002625,0.0,0.0,1.0
45,46dd354a-9b58-4e14-9f33-4ac3bc2b8edf,2003-10-04,20,5918,2335738,231420,0,0,7819,394.6836769178777,39.10442717134167,276.25911241846785,-0.9996858835220337,0.0,1.0,0.0
37,ab5535fc-ad84-4b86-8766-7fd48f00c6c3,2012-07-07,3,3108,1721681,162685,0,1,4620,553.9514157014157,52.34395109395109,245.54545454545453,-0.9985811710357666,0.0,1.0,0.0
43,f1e1ec75-4fcb-445d-895c-b897d2fda7c7,2012-05-27,12,2751,2020716,79681,0,0,4661,734.5387131952017,28.96437659033079,215.42909246942716,0.509363055229187,0.0,1.0,0.0
34,2dbf3971-0261-41b6-8a13-0f963635be21,2018-04-01,11,1748,987897,77786,0,0,2526,565.158466819222,44.5,252.58115597783058,0.0,0.0,0.0,0.0
37,e41a1011-a474-431a-8e91-bb1f11f60d11,2010-04-24,12,3066,2224411,166281,0,0,5425,725.5091324200913,54.23385518590998,206.28387096774193,-0.985056459903717,1.0,0.0,0.0
36,bcce62f3-9dfa-4c99-95bc-dd9fed5c7f87,2011-06-27,1,3830,1642038,170859,0,1,4996,428.7305483028721,44.61070496083551,279.8138510808647,-1.903158187866211,1.0,1.0,0.0
30,098c492c-a3df-4f25-92a3-fcbd7ca6877d,2016-08-08,9,2321,1245296,142548,0,0,3127,536.5342524773804,61.416630762602324,270.91941157659096,-0.9974007606506348,0.0,1.0,0.0
43,548fc5c2-7ca5-44bb-8fff-b6ed518316f3,2001-03-22,3,7206,2956946,257961,0,0,8745,410.3449902858729,35.798084929225645,300.76500857632936,0.0,0.0,0.0,0.0
36,bfa3ea9e-bcd0-48b2-aaaf-373708774d17,2016-07-07,2,2147,994081,81582,0,1,3159,463.0093153237075,37.9981369352585,248.07059195948085,0.8939716219902039,1.0,0.0,0.0
40,bdfcbd2d-b502-48e3-ad5e-d49308ba8030,2008-01-15,18,3824,3138559,189432,1,0,6255,820.7528765690377,49.53765690376569,223.1430855315747,0.8500587344169617,1.0,0.0,0.0
43,e7749571-6909-4305-a2cf-b49b080bfcbf,2004-05-05,11,6346,1243888,226028,1,0,7605,196.01134572959344,35.61739678537661,304.5746219592374,0.7700055241584778,1.0,0.0,0.0
43,631c6546-3549-46b4-9c48-3a901982fa7d,2019-04-21,8,1662,428490,82542,0,0,2141,257.8158844765343,49.664259927797836,283.33956095282576,0.0,0.0,0.0,0.0
45,01a3ae64-1c08-4c46-819a-36061e32bd5c,2023-02-12,14,585,284700,38923,0,1,748,486.6666666666667,66.53504273504274,285.46122994652404,-1.1204684376716614,1.0,1.0,1.0
39,21e5813e-92aa-4044-a686-e74069384bb7,2016-06-25,19,2255,1042629,175008,0,0,3171,462.36319290465633,77.60886917960089,259.563229265216,0.9608580470085144,0.0,0.0,1.0
36,4137b6d1-b06f-492c-8b71-18e54a1c55b0,2010-06-20,2,4564,1261701,174996,2,1,5368,276.4463190184049,38.34268185801928,310.33159463487334,-0.9963416457176208,0.0,1.0,0.0
39,b5bf1f3c-55bf-4314-8529-da51e40521d7,2018-09-05,15,1400,629280,88358,0,0,2369,449.48571428571427,63.112857142857145,215.70282819755172,-0.9988219141960144,0.0,1.0,0.0
26,4b363849-4681-4581-b992-8fed6d471697,2019-12-20,2,1253,523938,79706,0,0,1898,418.146847565842,63.6121308858739,240.96153846153848,0.0,0.0,0.0,0.0
28,a5b9a313-052f-4d27-a16f-00c3e1b7b1d1,2024-02-09,1,315,162655,23534,0,1,386,516.3650793650794,74.71111111111111,297.8626943005181,-0.15268981456756592,0.0,0.0,2.0
29,3e91fb7c-8f73-4879-b69c-e97d6254be10,2020-12-20,4,847,684793,66711,0,0,1532,808.4923258559622,78.76151121605668,201.79830287206264,-0.900169849395752,0.0,1.0,0.0
32,935fa7a7-a980-450b-9c88-9b401d10d27f,2016-10-14,7,2519,1472364,111564,0,0,3060,584.5033743549027,44.28900357284637,300.468954248366,0.0,0.0,0.0,0.0
43,a4c0b39d-61e8-4437-a9dc-66cc3c81ba5b,2021-03-08,4,932,324066,73723,0,1,1454,347.71030042918454,79.1019313304721,233.9614855570839,-1.953919231891632,0.0,1.0,1.0
32,9d8b3fff-c0bf-49df-85ba-44f3bb44ed90,2013-05-31,5,2361,1032784,182972,0,0,4292,437.43498517577297,77.49767047861076,200.78401677539605,0.7201502919197083,1.0,0.0,0.0
36,c97e53ba-0953-4d14-adc8-0d0900a9a86d,2021-09-01,10,678,300286,62547,0,0,1277,442.89970501474926,92.25221238938053,193.79013312451056,0.0,0.0,0.0,0.0
50,1283005d-38a5-4771-bbfe-2b236b360bcd,1997-10-19,17,8367,4528820,128621,1,0,9995,541.2716624835664,15.372415441615871,305.5482741370685,0.0,0.0,0.0,0.0
37,a0222e8c-2bec-4abb-90be-01162b1d78e2,2020-06-28,13,1385,654426,84455,0,1,1707,472.50974729241875,60.978339350180505,296.14821323960166,0.06179171800613403,0.0,0.0,2.0
45,3cb850c8-d6e4-4178-92e0-0cc683acefe2,1999-04-30,21,5805,3363497,191527,1,0,9437,579.4137812230836,32.99345391903532,224.52315354455865,0.0,0.0,0.0,0.0
32,c3381ef9-607a-4245-9409-66232b52c671,2016-11-30,5,1646,1109899,60258,0,0,3013,674.3007290400972,36.608748481166465,199.3992698307335,0.700212299823761,1.0,0.0,0.0
38,669de3b0-0e3b-4d3a-9e23-f9aaae26cad3,2022-08-25,8,550,317475,32435,0,1,919,577.2272727272727,58.972727272727276,218.44396082698583,-0.4440402388572693,0.0,1.0,1.0
32,d11580c4-9458-41bb-a56e-4b6d0d796bcf,2023-05-21,6,380,169200,25250,0,1,650,445.2631578947368,66.44736842105263,213.3846153846154,-1.6044061779975891,1.0,1.0,0.0
37,b2cd96b5-7fdb-4398-924d-8d7a6d84678f,2022-11-23,10,657,324183,39908,0,0,829,493.42922374429224,60.7427701674277,289.270205066345,0.9929326772689819,1.0,0.0,0.0
46,327b8d02-9d89-43bd-aa3c-60d5bce03dea,2008-11-02,2,3495,1998254,200180,2,1,5963,571.7464949928469,57.276108726752504,213.93174576555424,0.9983770847320557,0.0,0.0,1.0
26,4abd657e-1cf3-4a45-a76d-7ea8c1b0ab6c,2019-04-25,2,1253,542743,49129,0,0,2137,433.15482841181165,39.209098164405425,214.012634534394,0.0,0.0,0.0,0.0
43,89d5d39d-5eeb-4a02-acf3-1ad2063a4b8d,2014-11-27,4,1921,1483597,101763,0,0,3747,772.3045288912025,52.973971889640815,187.12703496130237,0.0,0.0,0.0,0.0
41,86460646-6108-402e-aaa6-955e7d1e5ab8,2014-10-31,8,2788,1192346,224958,2,1,3774,427.6707317073171,80.68794835007174,269.63963963963965,-0.36276775598526,2.0,0.0,0.0
35,b4616df1-3f6e-488c-b42d-d6336b121166,2015-05-02,15,2785,1322201,180318,0,0,3591,474.7579892280072,64.74614003590665,283.07574491785016,0.0,0.0,0.0,0.0
28,52979aff-c816-4548-8854-b300f7840249,2019-11-27,5,1462,653143,99777,0,1,1921,446.74623803009575,68.2469220246238,277.78761061946904,-0.9992249011993408,1.0,0.0,0.0
40,2a36d91a-4775-4756-9487-8f1d8d35cf2a,2010-06-01,9,3918,2269598,185833,0,0,5387,579.274629913221,47.430576824910666,265.4668646742157,0.0,0.0,0.0,0.0
35,a7ef88f4-f186-41fa-81c1-07f74a35802e,2017-02-03,9,2613,1083723,125215,1,1,2948,414.7428243398393,47.92001530807501,323.52272727272725,-0.9900577664375305,0.0,0.0,1.0
41,64e7c234-d4ec-4894-9497-859fe0430a2d,2009-03-09,14,4021,1630018,114002,3,0,5836,405.3762745585675,28.351653817458345,251.48474982864974,-0.6756587028503418,1.0,0.0,0.0
40,dc673b33-6d21-4063-a1c4-6f1509c0cea0,2004-03-26,9,6452,2872687,233856,4,1,7645,445.2397706137632,36.24550526968382,308.0418574231524,-2.9677461981773376,0.0,2.0,1.0
52,572c5926-46ff-44d6-80fa-45ec0a4717de,2014-01-06,14,3088,1540743,59733,0,0,4072,498.9452720207254,19.343588082901555,276.7976424361493,0.9943301677703857,0.0,0.0,1.0
38,a9caa0d6-92d9-4880-92e0-95db009d66b7,2023-12-12,13,237,173953,14090,0,0,445,733.9789029535865,59.45147679324894,194.3932584269663,0.6887812614440918,0.0,0.0,1.0
31,9c641b7b-9967-4a29-bbfe-12f366a1e5a9,2022-10-14,0,716,376163,44151,0,1,869,525.3673184357542,61.66340782122905,300.73647871116225,0.7612459063529968,0.0,0.0,1.0
41,b0bf51d8-4437-4548-8a52-f68aaace24d1,2012-07-20,11,3380,1385423,156011,0,0,4607,409.8884615384615,46.157100591715974,267.78814846972,0.0,0.0,0.0,0.0
41,c7afc789-17d8-4939-bf21-3c69f108c180,2016-12-10,12,2286,1211514,187870,0,0,3003,529.9711286089239,82.18285214348207,277.8521478521478,0.0,0.0,0.0,0.0
50,514416a1-8f4e-4904-a069-bcc501ae9fe2,1996-12-04,23,5900,2186718,418635,0,0,10314,370.6301694915254,70.95508474576272,208.79387240643786,-0.9968926906585693,0.0,1.0,0.0
46,56350377-4d9d-4b6f-a4ba-e3a3b3e6a2ba,2007-11-12,26,4265,2150995,246610,0,1,6319,504.33645955451345,57.821805392731534,246.35622725114735,-2.9396409392356873,1.0,1.0,1.0
42,c5fe15cd-3956-412c-95c1-f14496b7b27a,2012-09-22,18,3871,1490227,144220,0,0,4543,384.97210023249806,37.25652286230948,311.0092449922958,0.0,0.0,0.0,0.0
51,9a47f73c-9f37-4a02-8580-2f21754d7323,2001-01-14,16,5165,4104872,250654,0,1,8812,794.7477250726041,48.52933204259438,213.93837948252386,-2.726160764694214,1.0,1.0,1.0
30,6a221123-3e09-423d-83a7-9d1ecb407624,2021-08-01,1,654,441441,47541,0,1,1308,674.9862385321101,72.69266055045871,182.5,-0.9692846536636353,0.0,0.0,1.0
34,a998b99d-1db9-4c42-89f0-86a0a33738b3,2012-09-12,8,2745,1815003,106801,0,1,4553,661.2032786885246,38.90746812386157,220.05820338238522,0.7841498255729675,1.0,1.0,1.0
32,1b3819dc-073c-4aac-aa63-9ff62e37e292,2024-02-17,10,262,79023,17233,0,0,378,301.6145038167939,65.77480916030534,252.989417989418,-0.9995427131652832,1.0,0.0,0.0
36,7659b421-49b0-44d2-80fa-efadaaf3787d,2014-04-05,15,3299,1281965,209960,2,1,3983,388.59199757502273,63.643528341921794,302.31860406728595,1.40034019947052,3.0,0.0,1.0
28,19b18213-e3ee-40ef-bfa4-b11b9065ed28,2016-09-10,7,2343,873409,113293,0,1,3094,372.7737942808365,48.35381988903116,276.4043309631545,0.5496544241905212,1.0,1.0,1.0
45,490982e1-1d3b-4615-97b9-d3f91f614b68,2004-06-25,4,6554,4139900,111330,1,1,7554,631.6600549282881,16.986573085138847,316.68122848821815,-1.9547200798988342,0.0,1.0,1.0
38,3d6b0e8a-7fe6-4635-a3ac-3831a8e933c9,2008-10-23,13,4074,1771927,216801,0,0,5973,434.9354442808051,53.215758468335785,248.9552988448016,0.0,0.0,0.0,0.0
28,b19ac02b-45f8-4294-820d-c2d6e79f9609,2020-12-28,7,1000,542334,44274,0,1,1524,542.334,44.274,239.501312335958,0.17223846912384033,1.0,1.0,0.0
31,dc55db4f-fe39-4f61-8ffc-a9fbcffc2c42,2015-02-08,8,2177,1323103,112007,1,0,3674,607.7643546164446,51.450160771704184,216.27789874795863,0.0,0.0,0.0,0.0
42,5fe76bec-4704-4366-b629-69a1ac22a45f,2012-01-21,15,2811,1066966,119885,0,0,4788,379.5681252223408,42.648523657061546,214.28884711779446,0.0,0.0,0.0,0.0
46,72f23646-f587-40e5-9c36-9ededb703e9f,2008-02-05,13,4952,1919555,270921,0,0,6234,387.63226978998387,54.70941033925686,289.93904395251843,-0.7171482443809509,0.0,1.0,0.0
55,67594e7e-ae76-459c-87c2-5c54b486cf25,2022-06-17,22,525,377792,25659,0,0,988,719.6038095238096,48.87428571428571,193.95242914979758,-1.9091894626617432,1.0,1.0,0.0
60,f46a483e-93f9-4b7d-ac3c-12787b44c4d7,2018-04-29,12,1491,891430,93833,0,0,2498,597.8739101274313,62.93293091884641,217.86028823058447,-0.617621660232544,0.0,1.0,0.0
43,f009ae7b-adba-44d8-b898-7c61e1389d21,2011-07-03,2,4263,828175,156405,0,0,4990,194.27046680741262,36.68895144264602,311.82264529058114,0.0,0.0,0.0,0.0
