Edad,ID empleado,Fecha contratacion,Años de experiencia,Viajes realizados,Km totales recorridos,Tiempo de inactividad total,Incidentes de peligro,Renuncia
57,2f7f1c07-d486-4744-b180-df3e6801f7cc,1998-09-30,15,5413,3328077,309134,0,1
33,88b33fd9-5278-49d7-add4-164873c85e04,2017-06-01,11,2222,700339,203263,1,0
46,bb075426-a89c-4f92-8dd9-3f7bbdc275da,2002-07-17,25,4168,2589542,197384,0,1
32,cce758e4-aeaf-4c17-8dc7-7bedc83e4753,2021-12-21,2,888,448088,35311,0,1
47,12589704-d32d-4acc-9d03-1a58218dcfbd,2022-04-28,21,586,255416,44430,0,1
43,b575f1fb-d921-42c7-9d25-ed6c307d27dd,2009-02-02,7,3358,1801651,131212,0,0
38,caf22af8-6408-4504-af6b-0d3340adb21d,2023-03-26,6,510,223353,28058,0,0
39,a944a8a4-edc1-412b-bdce-756c4e9586f2,2007-03-22,8,4261,2328736,161950,1,0
34,c5cd52a9-ba62-4afe-a920-059387489c1c,2014-06-29,12,2683,1825685,114197,0,0
43,b747815b-42ab-4ee5-bf8d-60ce776d468c,2002-04-13,0,5211,2724739,202046,3,1
36,0cbbb598-3d3a-4d69-b652-892119e5690c,2019-02-23,7,1937,647882,75607,1,0
30,4f722796-5242-4c72-9b28-ca979f95ca93,2019-04-23,7,1318,1218608,60455,0,1
29,81edbc64-cbab-4f64-91b5-e2231ec63769,2017-06-30,1,2007,883281,144229,0,1
41,75892f29-ae4d-4e93-a71f-8cac55f04c20,2019-01-27,17,1872,744812,106455,0,0
52,0c4c44d0-ddee-4f34-83c7-6afcd3985bbe,2008-06-18,31,4670,1960370,218080,0,0
41,c3317781-bcbe-4d20-af95-559566797c6b,2010-04-30,2,3409,1776665,76185,0,1
39,8b7dc193-7dcd-492c-afb2-3ae16a76c3ad,2005-07-31,3,5157,2548044,259224,0,0
42,25308a39-77a1-40ce-8e8d-8c8616a2466a,2007-10-18,22,3382,2687722,129521,1,0
50,271f8ea1-9817-4a13-b89a-139311aeb877,2020-09-28,6,1160,617445,88974,0,0
41,18364046-af9a-4b38-a470-68a3ba30ab39,2014-03-11,1,2695,1748159,139306,0,1
36,e731dc64-91c0-4b9b-a2da-00ee5829e00e,2014-10-02,16,3054,1648685,125261,0,0
48,a9a3a705-29e5-47cb-b9ba-aa7522753445,2020-01-24,25,1563,683132,52708,0,1
43,39b2be11-ba1f-4b33-bce6-89ace5e7bab4,2014-03-28,15,2314,1516998,192383,1,0
52,cf60b5dd-d724-47ff-8282-78bfcf9c3445,2015-12-08,18,1795,1478854,118826,1,0
41,19cc602e-2025-48a1-960e-e43af7bf3484,2021-09-03,20,836,332906,64018,0,0
30,5eba387e-c58a-4f09-9960-9602afb9729e,2019-01-19,7,1593,1227830,124920,0,1
29,a3e7cf60-a0e5-413e-946c-7f36f1629e96,2022-09-04,6,591,280874,39617,0,1
53,32a024b4-bd84-4d6d-bbad-d279f61bbc3f,2007-01-20,28,4970,2129519,292022,1,0
53,c5164bf9-fa74-4ad5-9856-8b47aa9e8b94,2019-04-01,22,1517,546836,81065,0,1
38,2389db41-fcf8-484c-99ee-d9073c3ae0bd,2011-02-24,9,4477,1307535,266250,0,1
36,a6b898d5-68c7-4348-a265-9e491fe732f5,2021-01-16,6,998,644023,50534,0,0
51,bbfc1b62-c7a0-4154-ba9b-ceabd5fc5f54,1998-03-11,16,5251,5237475,126028,3,0
31,7b5d450e-1651-44ee-9bc2-a2f03a6e97ec,2023-11-17,6,291,143171,19306,0,1
32,24873388-1088-4c27-a111-cd70c0df07fb,2017-11-27,4,1967,1001508,74901,1,0
45,318160be-7406-407b-bcc1-c8b2651e2f9e,2016-03-03,11,1978,1207609,119806,0,0
36,ff531434-a31b-4d0b-98c0-8f1cd235a12e,2020-07-26,13,1020,722002,56374,0,0
39,62296f06-3544-4df0-8bcc-baec7784e1f2,2015-03-19,8,2311,1917452,57168,0,1
38,cd1db13e-2088-473d-94d9-9936e4083845,2009-01-07,0,4708,2781484,147349,1,0
42,ca0f9043-e955-4d17-94bb-a0a9bd7d66f3,2004-01-17,6,6757,2552618,216898,6,1
51,de15505c-47df-4589-80e1-69e256d2bcec,2015-05-19,7,2287,1402085,148755,1,1
40,64be5915-94e4-48bd-a340-73557ef8564a,2021-01-31,16,861,596364,56489,0,1
45,5940f02f-0826-44e7-98c6-586723fb4f92,2006-03-05,11,4635,2416452,275882,0,1
23,f2656158-6ac8-49bb-b446-887b05e93f35,2022-06-03,1,642,262849,46194,0,0
39,c132b06b-692f-4e69-b308-a4f06336eba1,2020-05-07,16,1576,503246,81158,0,1
33,f8e5dcd3-7a63-4b9a-80dd-02b0b6b38fc3,2014-04-16,0,2722,1755036,132491,0,0
30,6261c320-f5fe-4dd7-bd15-1ae47152788f,2018-12-24,1,1743,1016786,87791,0,1
32,82c5283f-d2d5-420e-988e-aa4868e0ca3b,2016-05-01,10,2792,1075531,166493,1,1
37,a9bbf2e6-6cd8-44ce-bef7-cc6f4862587f,2018-01-23,9,1949,962074,110816,0,0
47,0dc98aa1-fc2e-431d-a22c-055a53fce21b,2012-04-26,21,2814,2091604,115462,0,0
29,202c137c-11d2-40cb-bce6-b372a7965d8f,2022-07-18,8,711,204471,45532,0,0
40,a2ecbe0a-03b4-4b40-b2ba-f48d37a35aba,2009-01-17,19,3889,1850235,213073,1,0
36,0f7e9c5b-9286-441e-893a-1ef746812b9a,2021-08-28,1,856,655141,38409,0,1
37,d4bb1aeb-0e48-4ef7-b542-a1efda442683,2010-12-11,14,4631,1942268,210373,0,0
48,04c8392f-77c4-42e3-b435-75b33921e8ab,2001-11-02,20,5209,2212326,149226,4,0
44,4b103ec9-1856-4531-ae70-06877cdf03f6,2006-04-05,5,4747,2481536,257186,8,1
50,d5f73022-f8ee-4d0b-96ed-1a8e5632a0c1,2023-08-09,28,321,246077,23283,0,1
38,6536ae35-e6c1-4029-aa52-53fc8334e5b2,2019-04-03,7,1233,315812,110204,0,0
34,4dd05cbb-b747-48cf-ae3b-bc1d11d8e8f4,2017-08-12,13,2044,1004195,82106,2,0
38,66fdbf54-84b2-4486-b1d2-5f5adb31960d,2013-06-15,11,3423,1369524,223458,0,0
41,45482c0a-3800-4232-9b6d-179f03c13c87,2004-11-16,11,5591,1620123,338899,1,0
41,088cec42-8ff1-49e5-bc1a-04c463426944,2016-04-13,3,2049,1156661,109347,0,0
31,a79fcabc-e93a-4186-8ad0-ca696d502b77,2014-07-19,10,2031,1314958,103931,0,0
40,32eddbbc-0419-41c9-98b0-e4521ff2c99d,2020-11-24,11,1072,542297,47533,0,0
41,ac62c7ac-3a73-46ac-9684-6637da03ad66,2016-05-17,0,2252,1034066,83657,0,1
60,59c42edf-c619-46df-91fe-b36f6c5e1e3f,2022-08-26,0,741,246292,38069,0,1
55,036f3082-c54e-4f75-a2ae-0aed8008f7b5,2002-08-25,27,6218,1921256,195995,1,1
33,3ce89c68-7efb-4a5d-9e1b-50dd2f0d953c,2022-03-18,2,915,318029,79715,0,0
37,030436f5-8604-42ab-b0ce-f7c3f3a751b5,2019-10-20,10,1593,820311,56495,1,0
28,4b20f462-ed20-444a-916a-be7423ee3ec4,2017-12-20,6,1698,968800,101019,0,0
35,2bc59dae-ab5c-4b63-a581-9f64c6b2097e,2016-02-25,4,2478,1133982,148979,0,0
42,f2c3eae0-e6ad-4428-8270-f5b7f156ca2c,2023-11-10,13,381,127272,26810,0,0
49,0b205140-ee5d-4ffe-9b2f-62e319dcd9cf,2024-02-07,7,342,124193,24510,0,0
34,37d0db33-351c-46f9-949b-06bde3604ecf,2017-01-08,14,1989,1216284,134710,0,0
34,1121a145-ce46-4f28-a3e5-ee1c8fb2a6af,2019-11-25,12,1460,750705,75409,0,1
22,464aca2b-e05d-4bc1-aa09-ca9be84fdc31,2023-10-22,0,325,154664,21454,0,1
38,9623af8f-958b-4383-a23a-a71aecbd043e,2013-02-16,10,3495,620222,191693,2,1
31,60fc70a4-bf3a-4005-a7a9-7a35e5d2b4f8,2021-08-27,6,1108,379487,90289,0,0
35,d6f93eb4-fbfd-439c-8f13-19720d83349d,2015-04-16,15,3129,1123163,250740,0,0
32,53fdce97-d197-4c25-b362-1175590cebd1,2019-08-14,5,1140,562076,49290,0,0
39,aad6c3b9-f510-4463-89b3-575ba9ea0899,2020-08-14,11,965,526130,29344,0,0
25,7914a0c9-49b5-41f9-8aae-1705aeba445c,2023-06-23,5,494,256254,35644,0,1
28,8734d239-4a49-49b6-b8e4-db9924ff990d,2022-04-10,1,794,366449,62598,0,1
57,375c14db-618d-4315-aa91-68924c27aa9d,2023-04-21,20,586,291839,54567,0,0
29,38fb8608-6597-456b-9d58-1e07c5f6c161,2021-05-24,1,861,315787,64528,0,1
31,54d77356-043a-45cb-9e35-da4702fdca11,2014-04-02,7,3345,1297821,229958,0,0
54,a0fca719-90fb-4f36-9cd7-0c7a7e14707c,2000-01-28,12,7088,1785864,470686,0,0
60,14681e6e-3736-43bc-9ca9-16dadfcece41,2013-05-21,39,2487,1358889,187398,0,0
30,f13e45e5-5c82-446d-b1ff-ed0880ce4c75,2018-05-31,4,1357,656812,101028,0,1
37,08d8d563-d8b7-43b0-8958-40caa350f502,2014-07-12,2,3034,1757963,96982,0,1
42,1c26584e-c24a-4898-8ce4-b331325849d4,2005-12-12,19,3954,2686711,177969,0,0
53,e5b1349b-af8d-42c6-a3de-b91545881a49,2017-04-26,27,2343,1235780,131105,0,0
32,8c34a456-40ab-4aea-bd84-3180dfdf2636,2020-08-11,9,1202,524929,71213,0,0
38,30d95da7-1797-4b28-8f1f-be97558368be,2018-09-27,14,1621,629987,96321,0,1
46,0df31f26-274c-4332-8929-775bfc30945a,2023-02-08,7,458,199937,40999,0,0
43,c0ed97a5-fca4-4501-afe3-e8a516cac7fc,2016-12-07,15,2685,1115932,113721,3,1
36,58567955-2c97-4749-a749-a0f6f0e0406d,2010-02-16,0,4332,2717512,189215,0,0
38,f0c3270b-1067-4a1e-abf1-90fa63a4af18,2007-10-06,3,5156,2434288,215528,0,0
29,9d25b31a-cf06-46c0-8d99-71827236befe,2023-03-07,9,585,232013,29144,0,0
38,a227be25-a40c-4f38-afb7-a28104586bf4,2015-12-05,14,2475,1129946,98684,0,0
37,7ea7aa34-6768-48a5-a533-013c12ce2152,2017-09-08,4,2392,949011,74949,0,1
41,09b515b9-2757-4fc8-bf4e-30503cee325d,2013-11-24,2,3018,2107420,151149,1,1
35,e3fa2b4e-8f0a-416e-b110-909aaf1889a7,2015-11-07,15,2408,1526438,121063,0,1
43,697d6558-3b3a-4f81-978f-be3aa0f88fda,2023-09-13,2,326,198376,16642,0,0
48,605d3775-1955-4399-a22b-adca5473a996,2000-08-07,7,5497,3218961,113164,0,1
41,cc8fbd67-884e-4546-9869-9f87885b389a,2003-09-25,4,6221,2927267,233583,2,1
42,7727eb51-ce50-4916-b5ba-c8b548b9cf7e,2009-10-20,0,3556,2185720,159449,0,0
40,9c1b5053-03a1-4939-986a-45e7bc9d4eff,2010-12-19,6,4104,1643672,161984,0,1
40,bf7570e2-507a-4726-906a-d63ad3ce7990,2013-08-12,20,3717,1191756,145301,1,1
